Area,Centroid_X,Centroid_Y,Perimeter
70661,1315.5,425.5,991.561
101806,429,710,1218.923
160000,329,1764,1597.657
28233,1703.5,1885.5,722.943
28233,233.5,337.5,722.943
101806,703,819,1218.923
160000,1571,1707,1597.657
70661,265.5,1888.5,991.561
101806,662,496,1218.923
70661,1363.5,637.5,991.561
28233,327.5,1264.5,722.943
160000,1175,1325,1597.657
28233,1537.5,361.5,722.943
160000,384,517,1597.657
70661,771.5,633.5,991.561
101806,1313,1010,1218.923
101806,1777,1141,1218.923
160000,259,1285,1597.657
70661,673.5,1425.5,991.561
28233,1474.5,1778.5,722.943
