Area,Centroid_X,Centroid_Y,Perimeter
160000,329.5,1764.5,1563.716
101806,429.5,710.5,1155.22
70661,1316,426,939
28233,1704,1886,686.456
70661,266,1889,939
28233,234,338,686.456
101806,703.5,819.5,1155.22
160000,1571.5,1707.5,1563.716
28233,328,1265,686.456
101806,662.5,496.5,1155.22
160000,1175.5,1325.5,1563.716
70661,1364,638,939
160000,384.5,517.5,1563.716
70661,772,634,939
101806,1313.5,1010.5,1155.22
28233,1538,362,686.456
160000,259.5,1285.5,1563.716
70661,674,1426,939
28233,1475,1779,686.456
101806,1777.5,1141.5,1155.22
